日付,チャネル,SKU,商品名,カテゴリ,数量,単価,売上
2025-07-01,Amazon,FOO-003,有機紅茶アソート 20袋,食品,1,1428,1428
2025-07-01,楽天,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2980,2980
2025-07-01,楽天,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-01,楽天,FOO-005,クラフトチョコレート 4種セット,食品,2,3680,7360
2025-07-01,楽天,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-01,Shopify,ZAK-005,木製カッティングボード,雑貨,2,3383,6766
2025-07-01,楽天,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-01,Shopify,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-01,Amazon,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-01,楽天,ZAK-006,ステンレスタンブラー 350ml,雑貨,2,2280,4560
2025-07-01,Shopify,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-01,楽天,ZAK-007,リネンキッチンクロス 3枚組,雑貨,2,1680,3360
2025-07-01,Amazon,APP-005,ウールニットカーディガン,アパレル,1,8980,8980
2025-07-01,Shopify,ZAK-002,本革ミニ財布,雑貨,3,6800,20400
2025-07-01,Amazon,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-02,Amazon,APP-003,リネンシャツ Mサイズ,アパレル,2,5980,11960
2025-07-02,Shopify,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-02,Amazon,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-02,Shopify,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-02,楽天,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2980,2980
2025-07-02,Shopify,FOO-008,燻製ナッツアソート 200g,食品,1,1880,1880
2025-07-02,Amazon,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-02,楽天,FOO-008,燻製ナッツアソート 200g,食品,2,1880,3760
2025-07-02,Shopify,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-02,Amazon,APP-003,リネンシャツ Mサイズ,アパレル,1,5980,5980
2025-07-02,Shopify,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-02,Amazon,FOO-005,クラフトチョコレート 4種セット,食品,2,3680,7360
2025-07-02,楽天,ZAK-005,木製カッティングボード,雑貨,2,3980,7960
2025-07-02,Shopify,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-03,楽天,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-03,楽天,FOO-001,シングルオリジンコーヒー豆 200g,食品,2,1980,3960
2025-07-03,楽天,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-03,Shopify,FOO-007,国産味噌 500g,食品,2,1480,2960
2025-07-03,楽天,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-03,Amazon,FOO-006,オリーブオイル EXV 250ml,食品,2,2980,5960
2025-07-03,Shopify,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1683,1683
2025-07-03,Shopify,ZAK-003,陶器マグカップ 2個セット,雑貨,2,2480,4960
2025-07-03,楽天,FOO-002,国産はちみつ 250g,食品,1,2480,2480
